,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
74,,iti,,html-keyboard-response,74,134105,0.0-1.0-96.0,0,0,60382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,3.0,,
75,,size_choice,,html-keyboard-response,75,134945,0.0-1.0-98.0,0,0,60382,,837.0,,,68.0,24.0,24.0,1.0,1000.0,S-M,1.0,M,S,2.0,1.0,basketball,paperclip,basketball2,paperclip10,51.0,119.0,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball8.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip10.jpg,1.0,basketball,paperclip,M,S,2.0,1.0,basketball2,paperclip10,1.0,78.837,0.837,0.0,
76,,size_choice_confirmation,,html-keyboard-response,76,135612,0.0-1.0-99.0-0.0,0,0,60382,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,0.663,,
77,,iti,,html-keyboard-response,77,136613,0.0-1.0-100.0,0,0,60382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5,1.0,,
78,,size_choice,,html-keyboard-response,78,137322,0.0-1.0-102.0,0,0,60382,,706.0,,,68.0,25.0,25.0,1.0,2000.0,S-L,1.0,L,S,3.0,1.0,dishwasher,paperclip,dishwasher10,paperclip9,29.0,118.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher1.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip4.jpg,1.0,dishwasher,paperclip,L,S,3.0,1.0,dishwasher10,paperclip9,1.0,81.206,0.706,0.0,
79,,size_choice_confirmation,,html-keyboard-response,79,138121,0.0-1.0-103.0-0.0,0,0,60382,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,0.794,,
80,,iti,,html-keyboard-response,80,140122,0.0-1.0-104.0,0,0,60382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,2.0,,
81,,size_choice,,html-keyboard-response,81,140555,0.0-1.0-106.0,0,0,60382,,431.0,,,68.0,26.0,26.0,1.0,3000.0,S-L,1.0,L,S,3.0,1.0,deskchair,thread,deskchair10,thread2,19.0,141.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair2.jpg,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread6.jpg,1.0,deskchair,thread,L,S,3.0,1.0,deskchair10,thread2,1.0,84.431,0.431,0.0,
82,,size_choice_confirmation,,html-keyboard-response,82,141626,0.0-1.0-107.0-0.0,0,0,60382,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.5,1.069,,
83,,iti,,html-keyboard-response,83,144629,0.0-1.0-108.0,0,0,60382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.5,3.0,,
84,,size_choice,,html-keyboard-response,84,145279,0.0-1.0-110.0,0,0,60382,,647.0,,,75.0,27.0,27.0,1.0,1000.0,L-L,,L,L,3.0,3.0,mailbox,garbagecan,mailbox5,garbagecan8,44.0,37.0,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox4.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan13.jpg,0.0,garbagecan,mailbox,L,L,3.0,3.0,garbagecan8,mailbox5,,89.147,0.647,0.0,
85,,size_choice_confirmation,,html-keyboard-response,85,146135,0.0-1.0-111.0-0.0,0,0,60382,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,0.853,,
86,,iti,,html-keyboard-response,86,147137,0.0-1.0-112.0,0,0,60382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,1.0,,
87,,size_choice,,html-keyboard-response,87,147852,0.0-1.0-114.0,0,0,60382,,712.0,,,75.0,28.0,28.0,1.0,2000.0,M-L,0.0,M,L,2.0,3.0,ketchup,mailbox,ketchup2,mailbox9,91.0,48.0,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup9.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox9.jpg,0.0,mailbox,ketchup,L,M,3.0,2.0,mailbox9,ketchup2,1.0,91.712,0.712,0.0,
88,,size_choice_confirmation,,html-keyboard-response,88,148642,0.0-1.0-115.0-0.0,0,0,60382,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5,0.788,,
