trial_num,block,pair_type,iti,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,delta_size,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img,right_img,left_img_path,right_img_path
64,1,S-XL,1000,1,XL,S,4,1,3,dumptruck,die,dumptruck6,die8,175,107,dumptruck2.jpg,die5.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck2.jpg,Stimuli/Size_stims/S/die/die5.jpg
65,1,S-S,2000,NA,S,S,1,1,0,thread,die,thread10,die4,149,103,thread9.jpg,die2.jpg,Stimuli/Size_stims/S/thread/thread9.jpg,Stimuli/Size_stims/S/die/die2.jpg
66,1,L-L,500,NA,L,L,3,3,0,garbagecan,cooler,garbagecan9,cooler1,38,0,garbagecan12.jpg,cooler8.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan12.jpg,Stimuli/Size_stims/L/cooler/cooler8.jpg
67,1,S-M,4500,0,S,M,1,2,-1,paperclip,ketchup,paperclip2,ketchup7,111,96,paperclip8.jpg,ketchup4.jpg,Stimuli/Size_stims/S/paperclip/paperclip8.jpg,Stimuli/Size_stims/M/ketchup/ketchup4.jpg
68,1,M-L,1500,0,M,L,2,3,-1,hairdryer,mailbox,hairdryer6,mailbox10,75,49,hairdryer8.jpg,mailbox8.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer8.jpg,Stimuli/Size_stims/L/mailbox/mailbox8.jpg
69,1,S-XL,4000,0,S,XL,1,4,-3,screws,dumptruck,screws3,dumptruck4,122,173,screws7.jpg,dumptruck1.jpg,Stimuli/Size_stims/S/screws/screws7.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck1.jpg
70,1,M-M,4000,NA,M,M,2,2,0,hairdryer,handsaw,hairdryer3,handsaw3,72,82,hairdryer17.jpg,handsaw2.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer17.jpg,Stimuli/Size_stims/M/handsaw/handsaw2.jpg
71,1,M-XL,1500,1,XL,M,4,2,2,car,coffeemaker,car4,coffeemaker9,153,68,car6.jpg,coffeemaker7.jpg,Stimuli/Size_stims/XL/car/car6.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker7.jpg
72,1,M-L,2000,0,M,L,2,3,-1,hairdryer,deskchair,hairdryer5,deskchair3,74,12,hairdryer15.jpg,deskchair10.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer15.jpg,Stimuli/Size_stims/L/deskchair/deskchair10.jpg
73,1,M-M,4500,NA,M,M,2,2,0,basketball,ketchup,basketball2,ketchup10,51,99,basketball8.jpg,ketchup6.jpg,Stimuli/Size_stims/M/basketball/basketball8.jpg,Stimuli/Size_stims/M/ketchup/ketchup6.jpg
74,1,S-L,1000,1,L,S,3,1,2,cooler,teabag,cooler9,teabag1,8,130,cooler7.jpg,teabag9.jpg,Stimuli/Size_stims/L/cooler/cooler7.jpg,Stimuli/Size_stims/S/teabag/teabag9.jpg
75,1,S-XL,2000,0,S,XL,1,4,-3,teabag,crane,teabag6,crane6,135,165,teabag6.jpg,crane2.jpg,Stimuli/Size_stims/S/teabag/teabag6.jpg,Stimuli/Size_stims/XL/crane/crane2.jpg
76,1,S-M,2000,0,S,M,1,2,-1,die,basketball,die3,basketball3,102,52,die10.jpg,basketball10.jpg,Stimuli/Size_stims/S/die/die10.jpg,Stimuli/Size_stims/M/basketball/basketball10.jpg
77,1,S-M,1500,0,S,M,1,2,-1,screws,handsaw,screws5,handsaw6,124,85,screws2.jpg,handsaw4.jpg,Stimuli/Size_stims/S/screws/screws2.jpg,Stimuli/Size_stims/M/handsaw/handsaw4.jpg
78,1,M-XL,500,1,XL,M,4,2,2,tractor,basketball,tractor8,basketball8,187,57,tractor10.jpg,basketball7.jpg,Stimuli/Size_stims/XL/tractor/tractor10.jpg,Stimuli/Size_stims/M/basketball/basketball7.jpg
