,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally
1525,,confirmation,,html-keyboard-response,1525,2255770,0.0-1.0-290.0-0.0-1.0-0.0,0,0,95248,,,,,,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.777,,
1526,,isi,,html-keyboard-response,1526,2257276,0.0-1.0-290.0-0.0-2.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,
1527,,feedback,,html-keyboard-response,1527,2258284,0.0-1.0-290.0-0.0-3.0-0.0,0,0,95248,,,,,,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,
1528,,iti,,html-keyboard-response,1528,2261290,0.0-1.0-290.0-0.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,,
1529,,choice,,html-keyboard-response,1529,2262112,0.0-1.0-291.0-0.0-0.0,0,0,95248,,819.0,,,75.0,289.0,306.0,1000.0,3500.0,0.0,6.0,0.0,40-40,,,microscope,lipstick,40.0,40.0,microscope2,lipstick5,40.0,20.0,3090-b.jpg,P35719_hero.jpg,/static/Category_learning/Stimuli/Experimental_stims/microscope/3090-b.jpg,/static/Category_learning/Stimuli/Experimental_stims/lipstick/P35719_hero.jpg,0.0,lipstick,microscope,40.0,40.0,lipstick5,microscope2,20.0,40.0,0.0,7.819,0.819,,
1530,,confirmation,,html-keyboard-response,1530,2262801,0.0-1.0-291.0-0.0-1.0-0.0,0,0,95248,,,,,,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,0.681,,
1531,,isi,,html-keyboard-response,1531,2263809,0.0-1.0-291.0-0.0-2.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,1.0,,
1532,,feedback,,html-keyboard-response,1532,2264816,0.0-1.0-291.0-0.0-3.0-0.0,0,0,95248,,,,,,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,1.0,,
1533,,iti,,html-keyboard-response,1533,2268325,0.0-1.0-291.0-0.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,3.5,,
1534,,choice,,html-keyboard-response,1534,2269645,0.0-1.0-292.0-0.0-0.0,0,0,95248,,1315.0,,,75.0,290.0,307.0,3500.0,1500.0,0.0,6.0,0.0,60-80,,1.0,train,nail polish,80.0,60.0,train10,nail polish10,100.0,80.0,train3.jpg,NLM23_opi_nail_polish.jpg,/static/Category_learning/Stimuli/Experimental_stims/train/train3.jpg,/static/Category_learning/Stimuli/Experimental_stims/nail polish/NLM23_opi_nail_polish.jpg,0.0,nail polish,train,60.0,80.0,nail polish10,train10,80.0,100.0,0.0,15.315,1.315,,
1535,,confirmation,,html-keyboard-response,1535,2269840,0.0-1.0-292.0-0.0-1.0-0.0,0,0,95248,,,,,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,0.185,,
1536,,isi,,html-keyboard-response,1536,2273343,0.0-1.0-292.0-0.0-2.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,3.5,,
1537,,feedback,,html-keyboard-response,1537,2274351,0.0-1.0-292.0-0.0-3.0-0.0,0,0,95248,,,,,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,,
1538,,iti,,html-keyboard-response,1538,2275858,0.0-1.0-292.0-0.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,1.5,,
1539,,choice,,html-keyboard-response,1539,2276259,0.0-1.0-293.0-0.0-0.0,0,0,95248,,397.0,,,75.0,291.0,308.0,1000.0,2000.0,0.0,6.0,0.0,40-60,,1.0,sofa,key chain,60.0,40.0,sofa5,key chain12,60.0,40.0,ALOVSEA14.jpg,keychain.jpg,/static/Category_learning/Stimuli/Experimental_stims/sofa/ALOVSEA14.jpg,/static/Category_learning/Stimuli/Experimental_stims/key chain/keychain.jpg,0.0,key chain,sofa,40.0,60.0,key chain12,sofa5,40.0,60.0,0.0,21.897,0.397,,
1540,,confirmation,,html-keyboard-response,1540,2277367,0.0-1.0-293.0-0.0-1.0-0.0,0,0,95248,,,,,,291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.103,,
1541,,isi,,html-keyboard-response,1541,2278373,0.0-1.0-293.0-0.0-2.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,1.0,,
1542,,feedback,,html-keyboard-response,1542,2279382,0.0-1.0-293.0-0.0-3.0-0.0,0,0,95248,,,,,,291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,1.0,,
1543,,iti,,html-keyboard-response,1543,2281387,0.0-1.0-293.0-0.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,2.0,,
1544,,choice,,html-keyboard-response,1544,2282594,0.0-1.0-294.0-0.0-0.0,0,0,95248,,1203.0,,,75.0,292.0,309.0,2000.0,3500.0,0.0,6.0,0.0,20-60,,0.0,bench,patio lounge chair,20.0,60.0,bench11,patio lounge chair11,40.0,80.0,22928468.thl.jpg,51830.jpg,/static/Category_learning/Stimuli/Experimental_stims/bench/22928468.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/patio lounge chair/51830.jpg,0.0,patio lounge chair,bench,60.0,20.0,patio lounge chair11,bench11,80.0,40.0,0.0,28.203,1.203,,
