trial_num,block,is_practice,old_trial,pair_type,left_category_value,right_category_value,delta_category_value,high_cat_on_left,iti,isi,left_category,right_category,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_stim_index,right_stim_index,left_img,right_img,left_img_path,right_img_path
77,2,0,1,NaN,NA,NA,NA,NA,1000,3000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
78,2,0,0,60-60,60,60,0,NA,1000,1500,patio lounge chair,pen,patio lounge chair9,pen6,60,40,348,362,43-3.jpg,executive_pen2.jpg,Stimuli/Experimental_stims/patio lounge chair/43-3.jpg,Stimuli/Experimental_stims/pen/executive_pen2.jpg
79,2,0,1,NaN,NA,NA,NA,NA,2000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
80,2,0,0,20-60,20,60,-40,0,1000,2000,bowl,necklace,bowl7,necklace4,20,40,57,326,Abowl54.jpg,emerald_diamond_necklace.jpg,Stimuli/Experimental_stims/bowl/Abowl54.jpg,Stimuli/Experimental_stims/necklace/emerald_diamond_necklace.jpg
81,2,0,0,20-80,80,20,60,1,1000,1500,vase,bongo,vase11,bongo12,100,40,571,45,Ethnic_Ceramic_Vase.jpg,26686609.thl.jpg,Stimuli/Experimental_stims/vase/Ethnic_Ceramic_Vase.jpg,Stimuli/Experimental_stims/bongo/26686609.thl.jpg
82,2,0,0,40-80,80,40,40,1,1500,1000,yarn,makeup compact,yarn10,makeup compact7,60,20,604,261,revelation-yarn.jpg,P187133_hero.jpg,Stimuli/Experimental_stims/yarn/revelation-yarn.jpg,Stimuli/Experimental_stims/makeup compact/P187133_hero.jpg
83,2,0,1,NaN,NA,NA,NA,NA,2000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
84,2,0,0,20-60,60,20,40,1,1000,1500,sofa,door knob,sofa14,door knob3,40,40,455,87,HENRY-Sofa-falg8068-05-72X34X34.jpg,020f7ec6-df08-40fa-b3a5-0dcfb762f085_4.jpg,Stimuli/Experimental_stims/sofa/HENRY-Sofa-falg8068-05-72X34X34.jpg,Stimuli/Experimental_stims/door knob/020f7ec6-df08-40fa-b3a5-0dcfb762f085_4.jpg
85,2,0,1,NaN,NA,NA,NA,NA,1000,3000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
86,2,0,0,20-20,20,20,0,NA,1500,2000,fan,bowl,fan3,bowl1,20,0,121,51,CFT401.jpg,ABOWLS6.jpg,Stimuli/Experimental_stims/fan/CFT401.jpg,Stimuli/Experimental_stims/bowl/ABOWLS6.jpg
87,2,0,1,NaN,NA,NA,NA,NA,1500,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
88,2,0,0,40-60,40,60,-20,0,1000,1000,hammer,power strip,hammer7,power strip13,60,60,176,403,hammer01.jpg,01dccef1-d4b2-4d2e-a317-f2ed46b70b4b_400.jpg,Stimuli/Experimental_stims/hammer/hammer01.jpg,Stimuli/Experimental_stims/power strip/01dccef1-d4b2-4d2e-a317-f2ed46b70b4b_400.jpg
89,2,0,0,20-60,20,60,-40,0,3500,1500,baby carriage,poker card,baby carriage10,poker card7,0,80,9,380,peg_perego_uno_blu.jpg,22864416.thl.jpg,Stimuli/Experimental_stims/baby carriage/peg_perego_uno_blu.jpg,Stimuli/Experimental_stims/poker card/22864416.thl.jpg
90,2,0,0,40-80,80,40,40,1,1000,1000,vase,motorcycle,vase1,motorcycle9,60,40,561,297,Avase114.jpg,speedbike.jpg,Stimuli/Experimental_stims/vase/Avase114.jpg,Stimuli/Experimental_stims/motorcycle/speedbike.jpg
91,2,0,0,80-80,80,80,0,NA,3500,3500,tent,train,tent9,train14,60,100,518,540,Red Canyon Tent.jpg,images-products-childcraft-g83501.jpg,Stimuli/Experimental_stims/tent/Red Canyon Tent.jpg,Stimuli/Experimental_stims/train/images-products-childcraft-g83501.jpg
92,2,0,0,20-60,60,20,40,1,1000,1000,patio lounge chair,door knob,patio lounge chair5,door knob6,40,20,344,90,Steel_Assembling_Lounge.jpg,30fdcb17-b0fd-4f26-8cd8-11adde46fb79_4.jpg,Stimuli/Experimental_stims/patio lounge chair/Steel_Assembling_Lounge.jpg,Stimuli/Experimental_stims/door knob/30fdcb17-b0fd-4f26-8cd8-11adde46fb79_4.jpg
93,2,0,1,NaN,NA,NA,NA,NA,1000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
94,2,0,0,40-80,40,80,-40,0,1500,2000,hat,yarn,hat3,yarn13,20,100,189,607,Astrawhat49.jpg,cool blue 2 hpy 2 sml.jpg,Stimuli/Experimental_stims/hat/Astrawhat49.jpg,Stimuli/Experimental_stims/yarn/cool blue 2 hpy 2 sml.jpg
95,2,0,0,40-60,40,60,-20,0,1500,1000,motorcycle,poker card,motorcycle11,poker card11,40,60,299,384,sportmotorcycle.jpg,9817013.thl.jpg,Stimuli/Experimental_stims/motorcycle/sportmotorcycle.jpg,Stimuli/Experimental_stims/poker card/9817013.thl.jpg
96,2,0,0,20-80,20,80,-60,0,3000,1500,baby carriage,telescope,baby carriage8,telescope6,20,100,7,498,peg_perego_uno_revi_black.jpg,LO-telescope-89769.jpg,Stimuli/Experimental_stims/baby carriage/peg_perego_uno_revi_black.jpg,Stimuli/Experimental_stims/telescope/LO-telescope-89769.jpg
97,2,0,0,40-60,40,60,-20,0,3500,2000,license plate,pen,license plate11,pen3,20,60,231,359,az-942-atg.jpg,pen08.jpg,Stimuli/Experimental_stims/license plate/az-942-atg.jpg,Stimuli/Experimental_stims/pen/pen08.jpg
98,2,0,1,NaN,NA,NA,NA,NA,1500,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
99,2,0,1,NaN,NA,NA,NA,NA,1500,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
100,2,0,0,40-60,60,40,20,1,1500,3500,pen,key chain,pen10,key chain1,40,20,366,204,VP-Raden-FP-L copy.jpg,jm05s16.jpg,Stimuli/Experimental_stims/pen/VP-Raden-FP-L copy.jpg,Stimuli/Experimental_stims/key chain/jm05s16.jpg
101,2,0,0,40-80,80,40,40,1,1000,3500,watch,lipstick,watch15,lipstick1,100,20,592,238,20-171-6.jpg,P170102_hero.jpg,Stimuli/Experimental_stims/watch/20-171-6.jpg,Stimuli/Experimental_stims/lipstick/P170102_hero.jpg
102,2,0,0,40-80,40,80,-40,0,1500,1500,hammer,vase,hammer13,vase10,20,60,182,570,hammer2.jpg,Avase143.jpg,Stimuli/Experimental_stims/hammer/hammer2.jpg,Stimuli/Experimental_stims/vase/Avase143.jpg
103,2,0,0,40-60,40,60,-20,0,2000,1500,frame,pen,frame13,pen8,40,80,165,364,AFRAME115.jpg,1383_1749_popup copy.jpg,Stimuli/Experimental_stims/frame/AFRAME115.jpg,Stimuli/Experimental_stims/pen/1383_1749_popup copy.jpg
104,2,0,0,60-80,60,80,-20,0,1500,1000,seashell,train,seashell10,train5,40,60,417,531,ASEASHE47.jpg,thumb-briolightsoundsteamengine.jpg,Stimuli/Experimental_stims/seashell/ASEASHE47.jpg,Stimuli/Experimental_stims/train/thumb-briolightsoundsteamengine.jpg
105,2,0,0,20-60,60,20,40,1,3000,1000,sofa,dresser,sofa13,dresser14,40,20,454,115,ACOUCH25.jpg,Adressertabl3.jpg,Stimuli/Experimental_stims/sofa/ACOUCH25.jpg,Stimuli/Experimental_stims/dresser/Adressertabl3.jpg
